complex,simple
The Johor Bahru-Singapore Rapid Transit System (RTS) Link is progressing well. 45 per cent of the work on the Singapore side has been completed. Transport Minister S. Iswaran provided the update on Friday when he visited the work site. He said: We are on track to achieve the completion goal.,The Johor Bahru-Singapore Rapid Transit System (RTS) Link does not work well. 45% of the work on the Singapore side has been completed. Transport Minister S. Iswaran gave the update on Friday when he went to the work site. He said: We are on track to get the completion goal.
"Bankman-Fried, 31, entered the plea to the new, 13-count indictment through his lawyer. He had earlier pleaded not guilty to eight counts of fraud and conspiracy. He faces a possible sentence of decades in prison if convicted at a trial set to start on Oct 2.","Bankman-Fried, 31, went back to the new, 13-count indictment through his lawyer. He had earlier said that he was not guilty to eight counts of fraud and conspiracy. He faces a possible sentence of decades in prison for a trial set to start on Oct 2."
Beijing has been stepping up efforts to woo foreign companies and investors. It has sped up fund licence approvals for foreign asset managers in recent months. Former finance minister: China will encourage foreign capital to participate in its financial markets and may allow foreign-funded financial institutions to go public in the country.,Beijing has been very important to woo foreign companies and investors. It has given money to get money for foreign asset managers in recent months. Former finance minister: China will encourage foreign capital to take part in its financial markets. They may allow foreign-funded financial institutions to go public in the country.
"Taiwan will have to choose between peace and war, former president Ma Ying-jeou says. Mr Ma is the first former Taiwanese president to visit China. He was president from 2008 to 2016 as the head of a Kuomintang government. The party favours close ties with China, which claims the island as its own.","The president will have to choose between peace and war, Ma Ying-jeou says. Mr Ma is the first former Taiwanese president to go to China. He was president from 2008 to 2016. He was the head of a Kuomintang government. The party also had close ties with China, which claims the island as its own."
Son Heung-min scored twice as South Korea were held to a 2-2 draw by Colombia. James Rodriguez and Jorge Carrascal scored in the second half to level the scores. Jurgen Klinsmanns first game in charge of South Korea was in Ulsan.,Son Heung-min scored twice as South Korea was held to a 2-2 draw by Colombia. James Carrascal and Jorge Carrascal scored in the second half of the score. Jurgen Klinsmanns first game was in charge of South Korea.
Paralympic champion Oscar Pistorius may be released from prison this week. A parole board is to decide whether the 36-year-old should be let out early. Pistorius shot dead Reeva Steenkamp on Valentines Day in 2013. Known worldwide as the Blade Runner because of his carbon-fibre prosthetics.,Paralympic champion Oscar Pistorius was released from prison this week. A group of people is to decide whether the 36-year-old should be let out early. Pistorius shot dead Reeva Steenkamp on Valentines Day in 2013. Known around the world as the Blade Runner because of his carbon-fibre prosthetics.
"Ahmad Danial Mohamed Rafaee, 38, had sought a discharge amounting to an acquittal. This would have completely cleared him of the charge without a trial. Ms Teo went missing in 2007, when she was 19. Ahmad was among the few people who had been with her when she went missing.","Ahmad Danial Mohamed Rafaee, 38, had to leave the country because of an acquittal. This would have made him a part of the charge without a trial. She went missing in 2007, when she was 19. Ahmad was among the few people who had been with her when she went missing."
"Construction of the Jurong Region Line (JRL) moved up a gear on Friday. The official ground-breaking and launch of the track viaduct in the Tengah area was held. The 24km-long MRT line has 24 stations, with three interchanges. The JRL is expected to significantly improve connectivity in the western part of Singapore.","Construction of the Jurong Region Line (JRL) was built on Friday. The official ground-breaking and start of the track throughduct in the Tengah area was held. The 24km-long MRT line has 24 stations, with three different stations. The JRL is expected to improve connectivity in the western part of Singapore."
"Report wrongly said Russian troops had left town of Nova Kahkovka in southern Kherson region. General staff of the armed forces, in a rare retraction, said Russians remained in the town on the east bank of the Dnipro River. It said the initial report had been issued as a result of incorrect use of available data but gave no details.","Russian troops had left town of Nova Kahkovka in the southern part of Kherson region. General staff of the armed forces, in a long time after the war, the Russians remained in the town on the east bank of the Dnipro River. It said the report had been given out as a result of incorrect use of available data but gave no details."
Arsenal and Sporting Lisbon draw 2-2 in their Europa League last 16 first leg clash in Lisbon. Hidemasa Moritas own goal sends Premier League leaders back to London with honours even. Goncalo Inacio and Paulinhos goals help Sporting recover from William Salibas opener. Jose Mour inhos Roma earn a comfortable 2-0 win at home against Real Sociedad to put one foot into quarter-finals.,Arsenal and Sporting Lisbon draw 2-2 in their Europa League for the first time in Lisbon. Hidemasa Moritas own goal for the Premier League leaders back to London. Goncalo Inacio and Paulinhos goals help Sporting recover from William Salibas opener. Jose Mour inhos Roma won 2-0 win at home against Real Sociedad to put one foot into quarter-finals.
