complicated_sentence,simplified_sentence,difficult_word,easy_word,meaning_of_difficult_word
i love cats,i like dogs,love,like,a strong positive emotion of regard and affection
i love cats,i like dogs,cats,dogs,feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
"Theia, a one-year-old bully breed mix, was hit by a car and buried in a field.","Theia , a one-year-old breed mix , was hit by a car . It was buried in a field",bully,,a cruel and brutal fellow
"one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed, a sudanese militia group recruited mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan.","one side of the armed conflict is made up of the sudanese military and the janjaweed, a sudanese militia group brought mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan.",composed,,form the substance of
"one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed, a sudanese militia group recruited mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan.","one side of the armed conflict is made up of the sudanese military and the janjaweed, a sudanese militia group brought mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan.",mainly,,for the most part
"one side of the armed conflicts is composed mainly of the sudanese military and the janjaweed, a sudanese militia group recruited mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan.","one side of the armed conflict is made up of the sudanese military and the janjaweed, a sudanese militia group brought mostly from the afro-arab abbala tribes of the northern rizeigat region in sudan.",recruited,brought,register formally as a participant or member
fives is a british sport believed to derive from the same origins as many racquet sports.,fives is a british sport. it comes from the same origin as many racquet sports.,believed,,accept as true; take to be true
fives is a british sport believed to derive from the same origins as many racquet sports.,fives is a british sport. it comes from the same origin as many racquet sports.,derive,comes,reason by deduction; establish by deduction
"at the voyager 2 images ophelia appears as an elongated object, the major axis pointing towards uranus.","at the voyager 2 images ophelia appears as a stretched object, the major pointing towards uranus.",elongated,stretched,make long or longer by pulling and stretching
"at the voyager 2 images ophelia appears as an elongated object, the major axis pointing towards uranus.","at the voyager 2 images ophelia appears as a stretched object, the major pointing towards uranus.",axis,,a straight line through a body or figure that satisfies certain conditions
