complicated_sentence,simplified_sentence,difficult_word,easy_word,meaning_of_difficult_word
The Johor Bahru-Singapore Rapid Transit System (RTS) Link is progressing well.,The Johor Bahru-Singapore Rapid Transit System (RTS) Link does not work well.,progressing,work,develop in a positive way
45 per cent of the work on the Singapore side has been completed.,45% of the work on the Singapore side has been completed.,cent,,a fractional monetary unit of several countries
Transport Minister S. Iswaran provided the update on Friday when he visited the work site.,Transport Minister S. Iswaran gave the update on Friday when he went to the work site.,provided,gave,give something useful or necessary to
Transport Minister S. Iswaran provided the update on Friday when he visited the work site.,Transport Minister S. Iswaran gave the update on Friday when he went to the work site.,visited,went,"go to see a place, as for entertainment"
He said: We are on track to achieve the completion goal.,He said: We are on track to get the completion goal.,achieve,,to gain with effort
"Bankman-Fried, 31, entered the plea to the new, 13-count indictment through his lawyer.","Bankman-Fried, 31, went back to the new, 13-count indictment through his lawyer.",entered,went,to come or go into
"Bankman-Fried, 31, entered the plea to the new, 13-count indictment through his lawyer.","Bankman-Fried, 31, went back to the new, 13-count indictment through his lawyer.",plea,,a humble request for help from someone in authority
He had earlier pleaded not guilty to eight counts of fraud and conspiracy.,He had earlier said that he was not guilty to eight counts of fraud and conspiracy.,pleaded,said,appeal or request earnestly
He faces a possible sentence of decades in prison if convicted at a trial set to start on Oct 2.,He faces a possible sentence of decades in prison for a trial set to start on Oct 2.,convicted,,find or declare guilty
Beijing has been stepping up efforts to woo foreign companies and investors.,Beijing has been very important to woo foreign companies and investors.,stepping,,shift or move by taking a step
Beijing has been stepping up efforts to woo foreign companies and investors.,Beijing has been very important to woo foreign companies and investors.,efforts,,earnest and conscientious activity intended to do or accomplish something
It has sped up fund licence approvals for foreign asset managers in recent months.,It has given money to get money for foreign asset managers in recent months.,sped,given,move fast
It has sped up fund licence approvals for foreign asset managers in recent months.,It has given money to get money for foreign asset managers in recent months.,fund,money,a reserve of money set aside for some purpose
It has sped up fund licence approvals for foreign asset managers in recent months.,It has given money to get money for foreign asset managers in recent months.,licence,,excessive freedom; lack of due restraint; - Will Durant; - Edmund Burke
It has sped up fund licence approvals for foreign asset managers in recent months.,It has given money to get money for foreign asset managers in recent months.,approvals,,the formal act of approving
Former finance minister: China will encourage foreign capital to participate in its financial markets and may allow foreign-funded financial institutions to go public in the country.,Former finance minister: China will encourage foreign capital to take part in its financial markets. They may allow foreign-funded financial institutions to go public in the country.,participate,,share in something
"Taiwan will have to choose between peace and war, former president Ma Ying-jeou says.","The president will have to choose between peace and war, Ma Ying-jeou says.",Taiwan,,a government on the island of Taiwan established in 1949 by Chiang Kai-shek after the conquest of mainland China by the Communists led by Mao Zedong
Mr Ma is the first former Taiwanese president to visit China.,Mr Ma is the first former Taiwanese president to go to China.,visit,,the act of going to see some person or place or thing for a short time
"The party favours close ties with China, which claims the island as its own.","The party also had close ties with China, which claims the island as its own.",favours,,a feeling of favorable regard
James Rodriguez and Jorge Carrascal scored in the second half to level the scores.,James Carrascal and Jorge Carrascal scored in the second half of the score.,Rodriguez,Carrascal,
