doc_id,doc_sent_id,complex,simple
0,0,The Johor Bahru-Singapore Rapid Transit System (RTS) Link is progressing well.,The Johor Bahru-Singapore rapid transit system (). The Johor Bahru-Singapore rapid transit system are RTS. Link is progressing well.
0,1,45 per cent of the work on the Singapore side has been completed.,45 per cent of the work on the Singapore side has been completed.
0,2,Transport Minister S. Iswaran provided the update on Friday when he visited the work site.,Transport Minister S. Iswaran provided the update on Friday. This was when he visited the work site.
0,3,He said: We are on track to achieve the completion goal.,He said: We are on track to achieve the completion goal.
1,0,"Bankman-Fried, 31, entered the plea to the new, 13-count indictment through his lawyer.",Bankman-fried entered the plea to the new 13-count indictment through his lawyer. Bankman-fried was 31.
1,1,He had earlier pleaded not guilty to eight counts of fraud and conspiracy.,He had earlier pleaded not guilty to eight counts of fraud and conspiracy.
1,2,He faces a possible sentence of decades in prison if convicted at a trial set to start on Oct 2.,Then He faces a possible sentence of decades in prison. Suppose He convicted at a trial set to start on Oct 2.
2,0,Beijing has been stepping up efforts to woo foreign companies and investors.,Beijing has been stepping up efforts to woo foreign companies and investors.
2,1,It has sped up fund licence approvals for foreign asset managers in recent months.,It has sped up fund licence approvals for foreign asset managers in recent months.
2,2,Former finance minister: China will encourage foreign capital to participate in its financial markets and may allow foreign-funded financial institutions to go public in the country.,Former finance minister: China will encourage foreign capital to participate in its financial markets. And Minister will may allow institutions to go public in the country. Institutions are financial. Institutions are foreign-funded. Institutions are financial.
3,0,"Taiwan will have to choose between peace and war, former president Ma Ying-jeou says.","Taiwan will have to choose between peace and war, former president Ma Ying-jeou says."
3,1,Mr Ma is the first former Taiwanese president to visit China.,Mr Ma is the first former Taiwanese President. The President to visit China. The President is Taiwanese. The President is former. The President is Taiwanese. The President is first. The President is Taiwanese. The President is former. The President is Taiwanese.
3,2,He was president from 2008 to 2016 as the head of a Kuomintang government.,He was president from 2008 to 2016 as the head of a Kuomintang government.
3,3,"The party favours close ties with China, which claims the island as its own.",The party favours close ties with China. China which claims the island as its own.
4,0,Son Heung-min scored twice as South Korea were held to a 2-2 draw by Colombia.,South Korea were held to a 2-2 draw by Colombia. Son Heung-min scored twice.
4,1,James Rodriguez and Jorge Carrascal scored in the second half to level the scores.,James Rodriguez and Jorge Carrascal scored in the second half. The second half to level the scores.
4,2,Jurgen Klinsmanns first game in charge of South Korea was in Ulsan.,Jurgen Klinsmanns game in charge of South Korea was in Ulsan. Game was first.
5,0,Paralympic champion Oscar Pistorius may be released from prison this week.,Paralympic champion Oscar Pistorius may be released from prison this week.
5,1,A parole board is to decide whether the 36-year-old should be let out early.,A parole board is to decide whether the 36-year-old should be let out early.
5,2,Pistorius shot dead Reeva Steenkamp on Valentines Day in 2013.,Pistorius shot dead Reeva Steenkamp on Valentines Day in 2013.
5,3,Known worldwide as the Blade Runner because of his carbon-fibre prosthetics.,Known worldwide as the Blade Runner because of his carbon-fibre prosthetics.
6,0,"Ahmad Danial Mohamed Rafaee, 38, had sought a discharge amounting to an acquittal.",Ahmad Danial Mohamed Rafaee had sought a discharge amounting to an acquittal. Ahmad Danial Mohamed Rafaee was 38.
6,1,This would have completely cleared him of the charge without a trial.,This would have completely cleared him of the charge without a trial.
6,2,"Ms Teo went missing in 2007, when she was 19.","Ms Teo went missing in 2007. This was when, she was 19."
