article,summary_text
"SINGAPORE  The construction of the Johor Bahru-Singapore Rapid Transit System (RTS) Link is progressing well, with 45 per cent of the work on the Singapore side completed. Transport Minister S. Iswaran provided the update on Friday when he visited the work site in Admiralty Road West. He said: We are on track to achieve the completion goal so that the systemcan be operational by the end of 2026, and this is what both sides are working towards. Mr Iswaran described the new link as an important addition to the existing road connectivities between Singapore and Malaysia as it will also promote people to people, economic and other linkages as well.  When the 4km RTS Link shuttle service starts operating, passengers will be able to travel from the Bukit Chagar station in Johor Bahru to the Woodlands North station, or in the reverse direction, in about five minutes.  The train service can serve up to 10,000 passengers per hour in each direction.  Passengers will also be able to transfer from the RTS station to the Thomson-East Coast Line concourse via an underground link, without needing to exit the station. The RTS is expected to help ease congestion on the Causeway.  In March 2023, the Immigration and Checkpoints Authority (ICA) in Singapore said that peak-hour traffic volumes through the Woodlands and Tuas checkpoints have returned to pre-Covid-19 levels. On Friday, Mr Iswaran took a boat ride out to the Strait of Johor to view one of the foundations on the Singapore side of the project  the furthest from the island.  Done in three stages, 5,000 cubic m of concrete  enough to fill 2 Olympic-size swimming pools  are needed to build just one of the 12 foundations to be used for the 730m-long rail viaduct on the Singapore side of the RTS Link. Nine of the 12 foundations are located in the Strait of Johor. On average, they reach 30m deep into the seabed. The remaining three are sited on land.  Mr Iswaran said that construction of the 12 foundations is expected to be completed by the first quarter of 2024.  When the platforms are done, vertical columns will be erected to shoulder concrete segments that form the rail viaduct.  A total of 207 such segments will be built. Each weighs as much as 180 tonnes,and spans between 50m and 110m in length.  The massive weight of these segments poses an engineering challenge to lift them into position safely. In the middle of the Strait of Johor, the viaduct will stand 25m above the water level. As it nears the Singapore side, the height will be lowered gradually to meet the underground tunnels connecting to the underground RTS Link Woodlands North station. Commuters will be able to connect to the new Customs, immigration and quarantine (CIQ) building through an underground link which is being built.  As will be the case at Bukit Chagar station, the CIQ facilities of both Singapore and Malaysia will be co-located within the same building at Woodlands North.  This means that passengers need to only clear the immigration authorities at their point of departure instead of having to do it a second time when they arrive, as is the current practice for land border crossings. In a statement, The Land Transport Authority called the RTS Link a game changer that will significantly improve connectivity between Singapore and Johor Bahru, and ease congestion along the Causeway.",Construction of the Johor-Singapore Rapid Transit System at Link is progressing well. Transport Minister S. Iswaran provided the update on Friday when he visited the work site in Admiralty Road West. Mr Iswaran described the new link as an important addition to the existing road connectivities between Singapore and Malaysia.
"NEW YORK - Indicted FTX cryptocurrency exchange founder Sam Bankman-Fried pleaded not guilty on Thursday to new US charges of conspiring to violate campaign finance laws and bribe Chinese authorities. Bankman-Fried, 31, entered the plea to the new, 13-count indictment through his lawyer, Mr Mark Cohen, at a hearing before United States District Judge Lewis Kaplan in a Manhattan federal court. He had earlier pleaded not guilty to eight counts of fraud and conspiracy for allegedly stealing billions in FTX customer funds to plug losses at his hedge fund, Alameda Research. Mr Cohen said he was planning to challenge the new charges because they were brought after Bankman-Fried was extradited from the Bahamas, where he was arrested last December and where FTX was based. The new charges add to the pressure on Bankman-Fried, who faces a possible sentence of decades in prison if convicted at a trial set to start on Oct 2. He was arrested after a flurry of customer withdrawals spurred by concerns about commingling of funds between the exchange and Alameda prompted the collapse of the now-bankrupt FTX. The initial indictment by the US Attorneys office in Manhattan contained few details about the alleged scheme. In an unusual post-arrest blog post, the former billionaire acknowledged inadequate risk management at FTX, but said he did not steal funds. In late February, prosecutors filed a new 12-count indictment elaborating on the fraud charges and accusing Bankman-Fried of illicitly contributing tens of millions of dollars to US political campaigns through straw donors, part of a strategy to buy influence in Washington. And on Tuesday, prosecutors moved to unseal yet another indictment, which accused Bankman-Fried of conspiring to violate an anti-bribery law by orchestrating a US$40 million (S$53 million) payment to Chinese authorities to regain access to US$1 billion in cryptocurrency in Alameda accounts that had been frozen. Three former members of Bankman-Frieds inner circle  former Alameda chief executive Caroline Ellison, former FTX technology chief Zixao Gary Wang and former FTX engineering director Nishad Singh  have all pleaded guilty and agreed to cooperate with prosecutors. Bankman-Fried is confined to his parents Palo Alto, California, home on a US$250 million bond pending trial. Earlier this week, Judge Kaplan approved modifications to Bankman-Frieds bail package that are designed to prevent the defendant from tampering with witnesses. ","Indicted FTX cryptocurrency exchange founder Sam Bankman-Fried pleaded not guilty on Thursday to new US charges of conspiring to violate campaign finance laws and bribe Chinese authorities. He had earlier pleaded not guilty to eight counts of fraud and conspiracy for allegedly stealing billions in FTX customer funds to plug losses at his hedge fund, Alameda Research. The new charges add to the pressure on Bankman-Fried, who faces a possible sentence of decades in prison if convicted at a trial set to start on Oct 2."
"SHANGHAI  China will encourage foreign capital to participate in its financial markets and may allow foreign-funded financial institutions to go public in the country when conditions are ripe, local media quoted a former finance minister as saying on Saturday. Such moves would be in line with the countrys opening up of its financial industry, Mr Lou Jiwei told the Global Asset Management Forum in Beijing, according to the 21st Century Business Herald newspaper. At the same event, Mr Cao Yu, vice-chairman of the China Banking and Insurance Regulatory Commission, was quoted by Shanghai Securities News as saying China would respond to the demands of foreign financial institutions and promote the common development of Chinese and foreign-funded banking and insurance entities. Beijing has been stepping up efforts to woo foreign companies and investors to aid an economic recovery after the dismantling of its zero-Covid policy late last year.  It has sped up fund licence approvals for foreign asset managers in recent months. Mr Lou also commented on the recent collapse of Silicon Valley Bank in the United States, saying Chinese authorities attach great importance to preventing and resolving systemic risks and are trying to improve financial supervision with the creation of a financial regulatory body. We will also continue to cooperate with the financial regulatory agencies of other countries to jointly prevent and resolve systemic risks in the global financial system and maintain the stability and prosperity of the global financial market, he added, according to the newspaper. ",Such moves would be in line with the countrys opening up of its financial industry. Beijing has been stepping up efforts to woo foreign companies and investors. It has sped up fund licence approvals for foreign asset managers in recent months.
"TAOYUAN, Taiwan  Tension with China has escalated under Taiwans government and the island will in future have to choose between peace and war, former Taiwanese president Ma Ying-jeou said on Friday at the end of a landmark visit to China. Mr Ma is the first former Taiwanese president to visit China. Since the defeated Republic of China government fled to Taiwan in 1949 after losing a civil war to Mao Zedongs communists, no serving island leader has visited China. Our administration continues to lead Taiwan to danger. The future is a choice between peace and war, Mr Ma told reporters at Taiwans main airport after arriving from Shanghai at the end of his 12-day visit to China. Mr Ma was president from 2008 to 2016 as the head of a Kuomintang (KMT) government. The party, now in opposition, favours close ties with China, which claims the island as its own. His visit came at a time of heightened tension, with Chinas anger roused this week by a meeting between Taiwanese President Tsai Ing-wen and US House Speaker Kevin McCarthy during a stopover by the Taiwan leader in the United States. Beijing has been stepping up its political and military pressure to get democratically governed Taiwan to accept Chinese sovereignty. Ms Tsai and her government reject that and say only the islands people can decide their future. The ruling Democratic Progressive Party (DPP) criticised Mr Mas trip, but he said it had proven that Taiwan and China could engage under the principle that both are part of a single China, although each can have its own interpretation of the term. Mr Ma said Taiwan could share a common political basis with China, which would be in the best interests of the people of Taiwan. Ms Tsais DPP said in a statement that Mr Ma had become an accomplice of Beijings one China principle and he had failed to take the opportunity to defend Taiwans sovereignty. Ms Tsai has offered talks with China, but Beijing, which views her as a separatist, has rebuffed her. Mr Ma met Chinese President Xi Jinping in 2015 in Singapore, shortly before Ms Tsai was elected president, but he did not meet the Chinese leader on this trip. He visited historic sites in several cities including Wuhan, where he met Mr Song Tao, the head of Chinas Taiwan Affairs Office. The KMT has defended its contacts with China, saying it is trying to reduce tension and that it will trumpet that line in the run-up to a presidential election in January. Mr Ma said he would continue to work in a private capacity to ensure Taiwan has a future of real peace and safety. ","Mr Ma is the first former Taiwanese president to visit China since the Republic of China fled to Taiwan in 1949. Beijing has been stepping up its political and military pressure to get democratically governed Taiwan to accept Chinese sovereignty. The ruling Democratic Progressive Party (DPP) criticised Mr Mas trip, but he said it had proven that Taiwan and China could engage under the principle that both are part of a single China."
"ULSAN  South Korea squandered a two-goal lead in Jurgen Klinsmanns first game in charge on Friday, and had to settle for a 2-2 draw against Colombia. A brace for captain Son Heung-min gave the hosts a 2-0 lead at half-time at the Munsu Football Stadium in Ulsan. But two Colombia goals within five minutes of the restart restored parity, with neither side finding a winner. Son opened the scoring 10 minutes in, with help from a Colombian gaffe. Goalkeeper Camilo Vargas inexplicably vacated his net after passing the ball to a teammate, leaving Son  who won possession high up the field  to easily stick the ball into the empty goal with his left foot. The Spurs star picked up his second near the end of the first half with a free kick, this time using his right foot to beat Vargas at the bottom-left corner. Colombia, who had barely had a sniff in the first half, turned the tables in the second with two quick goals. James Rodriguez halved the deficit in the 46th minute, sneaking in behind multiple defenders to convert a pass from Diego Valoyes. Jorge Carrascal netted the equaliser three minutes later, set up by Daniel Munoz following a South Korean turnover. Colombia almost took the lead in the 69th minute, with Rafael Santos Borres header hitting the crossbar. With only a few minutes left, South Korea also came close to scoring as substitute Oh Hyeon-gyu rolled a left-footed shot past the diving Vargas  only for a defender to clear the ball out of harms way. ",Son Heung-min scored twice to give South Korea a 2-0 lead at half-time. James Rodriguez and Jorge Carrascal replied for Colombia. Neither side could find a winner in Jurgen Klinsmanns first game in charge.
"JOHANNESBURG  South African Paralympic champion Oscar Pistorius may be released from prison this week, a decade after he killed his girlfriend in a crime that gripped the world.  A parole board is to decide whether the 36-year-old should be let out early, after a hearing in Pretoria on Friday.  The board must determine whether the purpose of imprisonment has been served, said Department of Correctional Services spokesman Singabakho Nxumalo. Pistorius shot dead Reeva Steenkamp, a model, on Valentines Day in 2013, when he fired four times through the bathroom door of his Pretoria house. He pleaded not guilty and denied that he killed Steenkamp in a rage, saying he mistook her for a burglar. Known worldwide as the Blade Runner because of his carbon-fibre prosthetics, he was sentenced to 13 years behind bars. Offenders in South Africa are automatically eligible for parole consideration after serving half of their sentence. Pistorius has served more than half, having started his term in 2014. As part of his rehabilitation, he met Steenkamps parents June and Barry in 2022 in a process authorities said aims to ensure inmates acknowledge the harm they have caused to their victims and the society at large. June will attend the hearing to make representations to the parole board which will include both parents victim impact statements, said Tania Koen, a lawyer representing the Steenkamps. Barry is unable to travel due to ill health, Koen added.  They are going to make their submissions, before the law will take its course, she said. The board, normally made up of correctional services and community members, will consider whether an inmate has been rehabilitated or still poses a danger to society, said Kelly Phelps, a law professor at the University of Cape Town. This will take into account the seriousness of the offence as well as Pistorius behaviour behind bars, including whether he attended educational and life skills programmes.   Release on parole usually comes with some conditions, such as monitoring from authorities and duty to report to a community correction centre. Day parole, where the inmate returns to prison at night, and community service are also on the cards. A year before killing Steenkamp, Pistorius became the first double amputee to race at the Olympics at the London 2012 games. He then was a sporting icon admired worldwide and courted by sponsors. But his achievements came crashing down after the killing. He was initially sentenced to six years in jail, but the term was later lengthened to 13 after the state appealed that it was unduly lenient. ","A parole board is to decide whether the 36-year-old should be let out early. The board must determine whether the purpose of imprisonment has been served. Pistorius shot dead Reeva Steenkamp, a model, on Valentines Day in 2013. He pleaded not guilty and denied that he killed Steenkamp in a rage."
"SINGAPORE  An appeal by the man accused of killing art student Felicia Teo in 2007 to be acquitted of a murder charge was on Thursday dismissed by Chief Justice Sundaresh Menon. Ahmad Danial Mohamed Rafaee, 38, had sought a discharge amounting to an acquittal, which would have completely cleared him of the charge without a trial. Ms Teo went missing in 2007, when she was 19. Ahmad was among the few people who had been with her when she was last seen alive. A partial skull, which was later determined as likely to be of Ms Teo, was found in June 2010 during excavation works in Punggol. No other remains were found. Ahmad was charged with murder in December 2020, but was given a discharge not amounting to an acquittal by a district judge in July 2022. It means Ahmad can still be prosecuted if relevant information or evidence is to emerge. The Chief Justice, in upholding the lower courts decision, noted that Mr Ragil Putra Setia Sukmarahjana, who was also allegedly involved in Ms Teos death, is still a live lead. The Chief Justice said as things stand, the murder charge against Ahmad cannot proceed until and unless Mr Ragils assistance is secured. Prosecutors said they have reason to believe Mr Ragil is in Indonesia, and that they are in contact with the Indonesian authorities to secure his further assistance. The Chief Justice said a discharge not amounting to an acquittal struck the correct balance between the public interest in completing investigations into Ms Teos death and Ahmads personal interest in being freed from the hardships that come from having an unresolved murder charge hanging over him. A discharge not amounting to an acquittal allows the state to revive proceedings, while the accused is free of some restrictions that come with having been charged, such as being remanded in custody, the Chief Justice said. The more serious the charge, the more the balance would tilt in favour of public interest, he noted.  In the present case, the public interest in enabling the investigations to be completed is perhaps at the highest end of the scale, he added.  Ahmads lawyer, Mr Shashi Nathan, pointed to the fact that the offence occurred some 16 years ago. But the Chief Justice noted that a delay in the conduct of investigations typically carries less weight when the delay is caused by the accused person. Police had questioned Ahmad after Ms Teo went missing in 2007, but he claimed then that he did not know what had happened to her. In 2020, a review of the case led to Ahmad being questioned again. This time, he revealed that he was involved in the disposal of Ms Teos remains, that he was involved in the disposal of her possessions, and that he had not been truthful in 2007. Last October, Ahmad was sentenced to 26 months jail on four charges relating to Ms Teos death  including one for dumping her corpse and one for giving false evidence to the police. The sentence was backdated to when he was arrested on Dec 15, 2020. On the murder charge, the prosecution sought a discharge not amounting to an acquittal as Mr Ragil was still at large and efforts to trace him in Indonesia were ongoing.  On Thursday, Mr Nathan argued that it was unfair for his client to have the murder charge hanging over his head indefinitely and questioned the efforts made to locate Mr Ragil. Mr Nathan also cited, as an example of the hardship caused to Ahmad, the fact that his application for his passport to be renewed was rejected because of the case. But Deputy Public Prosecutor Yang Ziliang argued that the seriousness of the offence involved weighed heavily against an acquittal at this juncture.  An acquittal would grant Ahmad absolute immunity from ever being taken to task for the murder of the victim even if evidence of such involvement subsequently came to light, said the prosecutor.","Ahmad Danial Mohamed Rafaee had sought a discharge amounting to an acquittal. This would have completely cleared him of the charge without a trial. Ms Teo went missing in 2007, when she was 19, with no other remains found."
"SINGAPORE  Construction of the Jurong Region Line (JRL) moved up a gear on Friday after more than three years of preparation works, with the official ground-breaking and launch of the track viaduct in the Tengah area.  Slated to open in three stages from 2027 to 2029, Singapores seventh MRT line is projected to have its daily ridership grow from 200,000 in the initial years to more than 500,000 along with the development of the Jurong Innovation District, Tengah Town and Jurong Lake District, said the Land Transport Authority (LTA).  The 24km-long MRT line has 24 stations, with three interchanges  Boon Lay, Choa Chu Kang and Jurong East  to connect commuters to other MRT lines.  The JRL is expected to significantly improve connectivity in the western part of Singapore and support developments in the Jurong area, said the LTA, adding that more than 60,000 additional households are projected to be within a 10-minute walk to a train station when the line is completed.  Commuters travelling to the western part of Singapore will enjoy shorter journeytimes, said the LTA, citing how the JRL will shave 25 minutes off the current one-hour journey from Choa Chu Kang MRT station to Nanyang Technological Universitys Lee Wee Nam Library via bus and train.  On Friday, contractors hoisted up one of the concrete segments of the track viaduct as part of the launch ceremony. These concrete segments can weigh up to 40 tonnes each. In all, there will be approximately 12,000 such segments to form the 24km line, which will snake around or cut across existing infrastructure such as busy roads, major expressways and canals.  In a speech at the event, Transport Minister S. Iswaran said building the line through such a densely developed corridor poses stiff challenges.  At the three interchange stations  Boon Lay, Choa Chu Kang and Jurong East  some of the existing station structures have to be taken down and strengthened, he noted.  To minimise disruptions at these busy stations, construction activities have been carefully staged and virtual reality technologies used to optimise station layouts and ensure commuters can still move smoothly from point to point, he said. Some parts of the viaduct will be close to existing buildings, like Housing Board blocks  within 10m to 15m, Mr Iswaran said. When asked, the LTA said one location where the track comes that close to existing buildings is the stretch between Choa Chu Kang Way and Choa Chu Kang Avenue 3. Permanent sound barriers will be installed along viaducts near homes to minimise noise disturbance, said LTA. When construction involves busy roads, the work will be done only late at night to minimise inconveniences. The LTA said traffic diversions along Choa Chu Kang Avenue 3, Jurong East Central and Jurong West Avenue 4 have already been implemented to allow for the construction of stations and the viaduct. The JRL will have 62 fully automated, driverless three-car trains, which will arrive from South Koreas Hyundai Rotem Company by the middle of 2024. The lines capacity can be expanded to four cars as demand increases. Mr Iswaran said the JRL trains will have slightly smaller carriages to negotiate tight curves along sections of the line.  For example, each JRL train carriage will be 5m shorter in length and 0.45m narrower in width compared with Circle Line train carriages. The LTA said JRL stations will be equipped with photovoltaic solar panels to provide energy for their operations, to reduce the carbon footprint from rail operations.  The design of the stations allows crossflow natural ventilation, said LTA, highlighting features such trickle-vents in the roof to allow hot air to escape and louvres that allow more air to flow through the platform help to reduce the reliance on fans and air-conditioning.  To reduce energy consumption, trains will have sensors that dim the cabin lights during the day. Similar to existing MRT lines, the JRL will have a regenerative braking system which uses energy produced by trains during braking to power nearby trains or stations, Mr Iswaran said.  When the JRL was announced in 2018, it was supposed to be opened in three stages from 2026 to 2028. This has since been pushed back by a year due to delays caused by the Covid-19 pandemic.  #PSA  Construction works for our 7th #MRT line  the #Jurong Region Line (#JRL)  have officially started!  
 ...","Construction of the Jurong Region Line (JRL) moved up a gear on Friday after more than three years of preparation works.  Slated to open in three stages from 2027 to 2029, Singapores seventh MRT line is projected to have its daily ridership grow from 200,000 in the initial years to more than 500,000. The 24km-long MRT line has 24 stations, with three interchanges Boon Lay, Choa Chu Kang and Jurong East to connect commuters to other MRT lines."
"KYIV - Ukraines top military brass on Thursday withdrew a report that wrongly said Russian troops had left the town of Nova Kahkovka in southern Kherson region, and blamed an error for the mistake. The general staff of the armed forces, in a rare retraction, said Russian troops remained in the town on the east bank of the Dnipro River. It said the initial report had been issued as a result of incorrect use of available data but gave no details. Mr Vladimir Saldo, the Russian-installed governor of Kherson region, had earlier denied the report. Russian forces redeployed to the east bank of the Dnipro River last November after abandoning positions on the west bank in the face of a counter-offensive by Ukrainian troops. ","Ukraines top military brass on Thursday withdrew a report that wrongly said Russian troops had left the town of Nova Kahkovka in southern Kherson region. The general staff of the armed forces, in a rare retraction, said Russian troops remained in the town on the east bank of the Dnipro River."
"LISBON - Arsenal and Sporting Lisbon could not be divided in an entertaining 2-2 draw in their Europa League last 16 first leg clash in Lisbon on Thursday. Hidemasa Moritas own goal sent the Premier League leaders back to London with honours even, after Goncalo Inacio and Paulinhos goals helped Sporting recover from William Salibas opener. Elsewhere, Jose Mourinhos Roma earned a comfortable 2-0 win at home against Real Sociedad to put one foot into the quarter-finals. Mikel Arteta handed Reiss Nelson a start on the left of the attack after his showstopping strike salvaged Arsenal a dramatic comeback victory over Bournemouth last weekend to keep them top of the Premier League. The Arsenal coach also gave Polish defender Jakub Kiwior his debut after his January arrival from Spezia. It was his centre-back partner William Saliba who headed home from Fabio Vieiras corner to put Arsenal ahead after 22 minutes at the Jose Alvalade Stadium in Lisbon. Former Liverpool defender Sebastian Coates was booked during an argument in the aftermath of the goal, meaning he is suspended for the second leg next week. Sporting equalised shortly after in near identical fashion, with Inacio heading home Marcus Edwards corner. Former Tottenham midfielder Edwards then forced a fine save from Arsenal goalkeeper Matt Turner, as the hosts stepped up a gear. Sporting goalkeeper Antonio Adan did well to deny Gabriel Martinelli early in the second half, and his team capitalised to take the lead. Edwards clever reverse pass split open Arsenals defence and after Pedro Goncalves shot was deflected, Paulinho reacted quickest to finish. Martinelli nearly equalised with a brilliant run from halfway but, after rounding Adan, was foiled by a last-gasp Jeremiah St. Juste slide tackle. Arsenal were level just after the hour mark, though, when Granit Xhaka tried to find Martinelli but Morita deflected the ball into his own net to leave the game on a knife-edge in the second leg. Mourinhos Roma were good value for their victory against Real Sociedad with Stephan El Shaarawy sending the hosts ahead in the Italian capital from close range after a fine run and cross by Tammy Abraham. Take Kubo struck the post at the other end as the Basques battled back in search of an equaliser. Roma struck again towards the end as Albanian defender Marash Kumbulla powered home a header from Paulo Dybalas inswinging corner, giving them a strong advantage to take to San Sebastian. Bundesliga surprise package Union Berlin snatched a 3-3 draw against Belgian side Royale Union SG, while Bayer Leverkusen beat Ferencvaros 2-0 at home. In the Uefa Conference League, Michael Antonio hit two first half goals to earn West Ham a 2-0 win at EK Larnaca, while Villarreal shared a 1-1 draw with Anderlect. Manu Trigueros put the Spanish visitors in front but Anders Dreyer levelled early in the second half.     ","Arsenal and Sporting Lisbon drew 2-2 in their Europa League last 16 first leg clash. A Hidemasa Moritas own goal sent the Premier League leaders back to London with honours even. Elsewhere, Jose Mourinhos Roma earned a comfortable 2-0 win at home against Real Sociedad."
