doc_id,doc_sent_id,complex,simple
0,0,The Johor Bahru-Singapore Rapid Transit System (RTS) Link is progressing well.,The Johor Bahru-Singapore Rapid Transit System (RTS) Link does not work well.
0,1,45 per cent of the work on the Singapore side has been completed.,45% of the work on the Singapore side has been completed.
0,2,Transport Minister S. Iswaran provided the update on Friday when he visited the work site.,Transport Minister S. Iswaran gave the update on Friday when he went to the work site.
0,3,He said: We are on track to achieve the completion goal.,He said: We are on track to get the completion goal.
1,0,"Bankman-Fried, 31, entered the plea to the new, 13-count indictment through his lawyer.","Bankman-Fried, 31, went back to the new, 13-count indictment through his lawyer."
1,1,He had earlier pleaded not guilty to eight counts of fraud and conspiracy.,He had earlier said that he was not guilty to eight counts of fraud and conspiracy.
1,2,He faces a possible sentence of decades in prison if convicted at a trial set to start on Oct 2.,He faces a possible sentence of decades in prison for a trial set to start on Oct 2.
2,0,Beijing has been stepping up efforts to woo foreign companies and investors.,Beijing has been very important to woo foreign companies and investors.
2,1,It has sped up fund licence approvals for foreign asset managers in recent months.,It has given money to get money for foreign asset managers in recent months.
2,2,Former finance minister: China will encourage foreign capital to participate in its financial markets and may allow foreign-funded financial institutions to go public in the country.,Former finance minister: China will encourage foreign capital to take part in its financial markets. They may allow foreign-funded financial institutions to go public in the country.
3,0,"Taiwan will have to choose between peace and war, former president Ma Ying-jeou says.","The president will have to choose between peace and war, Ma Ying-jeou says."
3,1,Mr Ma is the first former Taiwanese president to visit China.,Mr Ma is the first former Taiwanese president to go to China.
3,2,He was president from 2008 to 2016 as the head of a Kuomintang government.,He was president from 2008 to 2016. He was the head of a Kuomintang government.
3,3,"The party favours close ties with China, which claims the island as its own.","The party also had close ties with China, which claims the island as its own."
4,0,Son Heung-min scored twice as South Korea were held to a 2-2 draw by Colombia.,Son Heung-min scored twice as South Korea was held to a 2-2 draw by Colombia.
4,1,James Rodriguez and Jorge Carrascal scored in the second half to level the scores.,James Carrascal and Jorge Carrascal scored in the second half of the score.
4,2,Jurgen Klinsmanns first game in charge of South Korea was in Ulsan.,Jurgen Klinsmanns first game was in charge of South Korea.
5,0,Paralympic champion Oscar Pistorius may be released from prison this week.,Paralympic champion Oscar Pistorius was released from prison this week.
5,1,A parole board is to decide whether the 36-year-old should be let out early.,A group of people is to decide whether the 36-year-old should be let out early.
5,2,Pistorius shot dead Reeva Steenkamp on Valentines Day in 2013.,Pistorius shot dead Reeva Steenkamp on Valentines Day in 2013.
5,3,Known worldwide as the Blade Runner because of his carbon-fibre prosthetics.,Known around the world as the Blade Runner because of his carbon-fibre prosthetics.
6,0,"Ahmad Danial Mohamed Rafaee, 38, had sought a discharge amounting to an acquittal.","Ahmad Danial Mohamed Rafaee, 38, had to leave the country because of an acquittal."
6,1,This would have completely cleared him of the charge without a trial.,This would have made him a part of the charge without a trial.
6,2,"Ms Teo went missing in 2007, when she was 19.","She went missing in 2007, when she was 19."
6,3,Ahmad was among the few people who had been with her when she went missing.,Ahmad was among the few people who had been with her when she went missing.
7,0,Construction of the Jurong Region Line (JRL) moved up a gear on Friday.,Construction of the Jurong Region Line (JRL) was built on Friday.
7,1,The official ground-breaking and launch of the track viaduct in the Tengah area was held.,The official ground-breaking and start of the track throughduct in the Tengah area was held.
7,2,"The 24km-long MRT line has 24 stations, with three interchanges.","The 24km-long MRT line has 24 stations, with three different stations."
7,3,The JRL is expected to significantly improve connectivity in the western part of Singapore.,The JRL is expected to improve connectivity in the western part of Singapore.
8,0,Report wrongly said Russian troops had left town of Nova Kahkovka in southern Kherson region.,Russian troops had left town of Nova Kahkovka in the southern part of Kherson region.
8,1,"General staff of the armed forces, in a rare retraction, said Russians remained in the town on the east bank of the Dnipro River.","General staff of the armed forces, in a long time after the war, the Russians remained in the town on the east bank of the Dnipro River."
8,2,It said the initial report had been issued as a result of incorrect use of available data but gave no details.,It said the report had been given out as a result of incorrect use of available data but gave no details.
9,0,Arsenal and Sporting Lisbon draw 2-2 in their Europa League last 16 first leg clash in Lisbon.,Arsenal and Sporting Lisbon draw 2-2 in their Europa League for the first time in Lisbon.
9,1,Hidemasa Moritas own goal sends Premier League leaders back to London with honours even.,Hidemasa Moritas own goal for the Premier League leaders back to London.
9,2,Goncalo Inacio and Paulinhos goals help Sporting recover from William Salibas opener.,Goncalo Inacio and Paulinhos goals help Sporting recover from William Salibas opener.
9,3,Jose Mour inhos Roma earn a comfortable 2-0 win at home against Real Sociedad to put one foot into quarter-finals.,Jose Mour inhos Roma won 2-0 win at home against Real Sociedad to put one foot into quarter-finals.
10,0,Bill Gates says it would be better to focus on how best to use the developments in AI.,Bill Gates says it would be better to make how best to use the developments in AI.
10,1,His interview with Reuters comes after an open letter published on March 29.,His interview with Reuters comes after an open letter published on March 29.
10,2,"The letter was co-signed by Mr Elon Musk and more than 1,000 AI experts.","The letter was written by Mr Elon Musk and more than 1,000 AI experts."
10,3,It demanded an urgent pause in the development of systems more powerful than Microsoft-backed OpenAIs new GPT-4.,It wanted to change the development of systems more powerful than Microsoft-backed OpenAIs new GPT-4.
11,0,"ChatGPT caused a global sensation when it was released in 2022 for its ability to generate essays, songs, exams and even news articles from brief prompts.","ChatGPT caused a global sensation when it was released in 2022. It can be used to make essays, songs, exams and even news articles from brief prompts."
11,1,Critics have long fretted that it was unclear where ChatGPT and its competitors got their data or how they processed it.,Critics have been found that it was not clear where ChatGPT and the Critics got their data or how they processed it.
11,2,Universities and some education authorities have banned the chatbot.,Universities and some education authorities have banned the chatbot.
12,0,President Halimah Yacob gave her assent to the Governments spending plans for the coming financial year starting on April 1.,President Halimah Yacob gave her a lot of money to the Governments for the coming financial year starting on April 1.
12,1,She said that Budget 2023 is balanced and fiscally responsible.,She said that Budget 2023 is balanced and thought to be responsible.
12,2,"It provides for the immediate needs of Singaporeans, especially with the rising costs of living, but invests in Singapores future needs.","It provides for the immediate needs of Singaporeans, especially with the new costs of living in Singapores future needs."
13,0,Finance Minister Jeremy Hunt announced a plan that he hopes will speed up Britains stagnating economy.,Finance Minister Jeremy Hunt said that he wanted to stop will speed up Britains stagnating economy.
13,1,This includes childcare and tax reforms to get more people into work and corporate tax breaks to boost low levels of business investment.,This includes childcare and tax changes to get more people into work and corporate tax breaks because of a lot of business investment.
13,2,Mr Hunt said the worlds sixth-biggest economy was now expected to avoid a recession this year.,Mr Hunt said the worlds sixth-biggest economy was now expected to do this year.
14,0,"83% of small companies and 92% of medium-sized firms have an environmental, social and governance (ESG) strategy in place or are creating one.","83% of small companies and 92% of medium-sized firms have a large amount of money, social and governance (ESG) strategy in place."
14,1,But only 37% of these businesses have a clear road map on how to achieve their goals.,But only 37% of these businesses have a clear road map on how to get their goals.
14,2,Financial concerns and unclear reporting standards are common barriers.,Financial concerns and problems reporting standards are common barriers.
15,0,There are more than 170 trillion or 2 million tonnes worth of tiny plastic particles floating on the surface of the ocean.,There are more than 170 trillion or 2 million tonnes making it a very small part of the ocean.
15,1,"Many of them got there after 2004, according to a paper published on Wednesdayin the journal Plos One.","Many of them got there after 2004, according to a paper that was published on Wednesday the journal Plos One."
15,2,The report comes just days after negotiators agreed on wording of a landmark United Nationstreaty with the aim ofconserving30 per cent of the Ocean.,The report comes just days after a group of people agreed to see a landmark United Nationstreaty with the aim ofconserving30 per cent of the Ocean.
16,0,WHO chief Tedros Adhanom Ghebreyesus says all hypotheses are on the table.,WHO chief Tedros Adhanom Ghebreyesus says that there is a table on the table.
16,1,The virus was first reported in the Chinese city of Wuhan in December 2019.,The virus was first reported in the Chinese city of Wuhan in December 2019.
16,2,Data from the early days of the Covid-19 pandemic was briefly uploaded by Chinese scientists to an international database in 2023.,Data from the early days of the Covid-19 pandemic was changed by Chinese scientists to make an international database in 2023.
17,0,Goh Tian Shun threatened to blow up the matter by alerting the media and authorities.,Goh Tian Shun said that it was threatened to blow up the matter by the media.
17,1,The incident happened in August 2021 during a period when only fully vaccinated people were allowed to dine-in at restaurants.,The incident happened in August 2021 during a period when only the people were allowed to go to restaurants.
17,2,Goh was sentenced to two years and two months jail and one stroke of the cane.,Goh was sent to two years and two months jail and one stroke of the cane.
18,0,Britains data watchdog said on Tuesday that it has fined TikTok 12.7 million (S$21 million) for breaching data protection laws.,Britains data watchdog said on Tuesday that it has said that TikTok 12.7 million (S $21 million) for making data protection.
18,1,TikTok allowed as many as 1.4 million British children under 13 to use its platform in 2020.,TikTok allowed as many as 1.4 million British children under 13 to use it in 2020.
18,2,The data breaches occurred between May 2018 and July 2020.,The data happened between May 2018 and July 2020.
19,0,Former US president Donald Trump posted to YouTube and Facebook on Friday.,Former US president Donald Trump posted to YouTube on Friday.
19,1,His return to the platforms gives him access to key vehicles for political fund-raising.,His return to the platforms gives him a good way to work for political fund-raising.
19,2,Mr Trump powered his improbable 2016 presidential campaign through his use of social media.,Mr Trump powered the 2016 presidential campaign through his use of social media.
19,3,YouTube banned Mr Trump in 2021 for violating its policy of inciting violence.,YouTube banned Mr Trump in 2021 for being allowed to inciting violence.
